Sample Name,FID RT,Compound Name,Formula,Match Factor,Catalyst,Reaction Temperature (C),Reaction pressure (psi),Gas
MBPR039_02,2.8731,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,85.86335913,Ru/C 5wt.%,280,134,N2
MBPR023,2.878,"2-Butene, 2-methyl-",C5H10,87.35686966,BEA,285,138,N2
MBPR026,2.8797,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,81.6043006,BEA,282,130,N2
MBPR038_02,3.1608,"Pentane, 2-methyl-",C6H14,98.28322598,Ru/C 5wt.%,280,134,N2
MBPR039_02,3.161,"Pentane, 2-methyl-",C6H14,98.4499574,Ru/C 5wt.%,280,134,N2
MBPR031,3.164,"Pentane, 2-methyl-",C6H14,92.45650861,Ru/C+BEA 5wt.%,280,157,N2
MBPR029,3.1642,"Pentane, 2-methyl-",C6H14,96.93377933,BEA,275,115,N2
MBPR028,3.1643,"Pentane, 2-methyl-",C6H14,96.37988734,Ru/C+BEA 5wt.%,272,130,N2
MBPR032,3.1643,"Pentane, 2-methyl-",C6H14,98.80737268,BEA,287,150,N2
MBPR022,3.1653,"Pentane, 2-methyl-",C6H14,92.5712049,Ru/C+BEA 5wt.%,281,138,N2
MBPR025,3.1674,"Pentane, 2-methyl-",C6H14,96.82590405,Ru/C+BEA 5wt.%,278,145,N2
MBPR026,3.1682,"Pentane, 2-methyl-",C6H14,98.8780074,BEA,282,130,N2
MBPR023,3.1683,"Pentane, 2-methyl-",C6H14,95.43373773,BEA,285,138,N2
MBPR038_02,3.2823,"Pentane, 3-methyl-",C6H14,98.12103669,Ru/C 5wt.%,280,134,N2
MBPR039_02,3.2826,"Pentane, 3-methyl-",C6H14,97.78715088,Ru/C 5wt.%,280,134,N2
MBPR032,3.2848,"Pentane, 3-methyl-",C6H14,97.57169389,BEA,287,150,N2
MBPR028,3.285,"Pentane, 3-methyl-",C6H14,92.16671096,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,3.2854,"Pentane, 3-methyl-",C6H14,92.15344539,BEA,275,115,N2
MBPR022,3.2869,"Pentane, 2,2,4-trimethyl-",C8H18,86.57241607,Ru/C+BEA 5wt.%,281,138,N2
MBPR025,3.2901,"Pentane, 3-methyl-",C6H14,92.44280004,Ru/C+BEA 5wt.%,278,145,N2
MBPR026,3.2901,"Pentane, 3-methyl-",C6H14,95.2409816,BEA,282,130,N2
MBPR023,3.2903,"Pentane, 3-ethyl-2,2-dimethyl-",C9H20,85.67332506,BEA,285,138,N2
MBPR038_02,3.4337,n-Hexane,C6H14,96.40028321,Ru/C 5wt.%,280,134,N2
MBPR039_02,3.4343,n-Hexane,C6H14,93.38331994,Ru/C 5wt.%,280,134,N2
MBPR040_02,3.4346,n-Hexane,C6H14,90.89558177,Ru/C 5wt.%,280,134,N2
MBPR028,3.4353,n-Hexane,C6H14,90.79165735,Ru/C+BEA 5wt.%,272,130,N2
MBPR031,3.4359,n-Hexane,C6H14,89.17286681,Ru/C+BEA 5wt.%,280,157,N2
MBPR032,3.4362,n-Hexane,C6H14,91.18333949,BEA,287,150,N2
MBPR024,3.4384,"Pentane, 2,2,4-trimethyl-",C8H18,62.09223764,Ru/C 5wt.%,281,127,N2
MBPR029,3.4385,n-Hexane,C6H14,89.41749678,BEA,275,115,N2
MBPR022,3.4391,n-Hexane,C6H14,88.59187402,Ru/C+BEA 5wt.%,281,138,N2
MBPR025,3.4417,n-Hexane,C6H14,91.68945369,Ru/C+BEA 5wt.%,278,145,N2
MBPR023,3.4421,n-Hexane,C6H14,86.2874025,BEA,285,138,N2
MBPR026,3.4422,n-Hexane,C6H14,89.4554311,BEA,282,130,N2
MBPR039_02,3.5251,"1-Butene, 2,3-dimethyl-",C6H12,76.97470018,Ru/C 5wt.%,280,134,N2
MBPR040_02,3.6844,"Pentane, 2,2-dimethyl-",C7H16,92.03739353,Ru/C 5wt.%,280,134,N2
MBPR039_02,3.686,"Pentane, 2,2-dimethyl-",C7H16,90.0202472,Ru/C 5wt.%,280,134,N2
MBPR038_02,3.686,"2,2-Dimethylpropanoic anhydride",C10H18O3,82.82570359,Ru/C 5wt.%,280,134,N2
MBPR032,3.6869,"Pentane, 2,2-dimethyl-",C7H16,93.1844733,BEA,287,150,N2
MBPR028,3.6889,"Pentane, 2,2-dimethyl-",C7H16,89.8434319,Ru/C+BEA 5wt.%,272,130,N2
MBPR030,3.6905,"Pentane, 2,2-dimethyl-",C7H16,90.28653032,Ru/C 5wt.%,263,119,N2
MBPR029,3.6907,"Hexane, 3,4-dimethyl-",C8H18,89.78100366,BEA,275,115,N2
MBPR033,3.6907,"Pentane, 2,2-dimethyl-",C7H16,91.72247342,Ru/C 5wt.%,280,134,N2
MBPR022,3.6925,"Pentane, 2,2-dimethyl-",C7H16,88.76340625,Ru/C+BEA 5wt.%,281,138,N2
MBPR026,3.6939,"Hexane, 3,4-dimethyl-",C8H18,86.271734,BEA,282,130,N2
MBPR027,3.6943,"Pentane, 2,2-dimethyl-",C7H16,93.09516948,Ru/C 5wt.%,278,130,N2
MBPR023,3.695,"Pentane, 2,2-dimethyl-",C7H16,87.77066049,BEA,285,138,N2
MBPR024,3.6952,"Pentane, 2,2-dimethyl-",C7H16,92.27724622,Ru/C 5wt.%,281,127,N2
MBPR025,3.6969,"Hexane, 3,4-dimethyl-",C8H18,90.95722585,Ru/C+BEA 5wt.%,278,145,N2
MBPR025,3.7034,"Pentane, 3-ethyl-3-methyl-",C8H18,78.82902012,Ru/C+BEA 5wt.%,278,145,N2
MBPR038_02,3.7549,Acetyl valeryl,C7H12O2,69.02131496,Ru/C 5wt.%,280,134,N2
MBPR039_02,3.7557,Acetyl valeryl,C7H12O2,88.40028984,Ru/C 5wt.%,280,134,N2
MBPR033,3.757,"Pentane, 2,2-dimethyl-",C7H16,87.6301783,Ru/C 5wt.%,280,134,N2
MBPR031,3.7573,"Hexane, 3,4-dimethyl-",C8H18,87.05447201,Ru/C+BEA 5wt.%,280,157,N2
MBPR032,3.7584,"Pentane, 2,4-dimethyl-",C7H16,93.1509944,BEA,287,150,N2
MBPR028,3.7589,"Pentane, 2,4-dimethyl-",C7H16,90.01524837,Ru/C+BEA 5wt.%,272,130,N2
MBPR040_02,3.7599,3-Buten-2-ol,C4H8O,57.31429098,Ru/C 5wt.%,280,134,N2
MBPR030,3.761,Acetyl valeryl,C7H12O2,72.25541015,Ru/C 5wt.%,263,119,N2
MBPR029,3.7626,Acetyl valeryl,C7H12O2,87.12359641,BEA,275,115,N2
MBPR025,3.7637,Acetyl valeryl,C7H12O2,72.43646887,Ru/C+BEA 5wt.%,278,145,N2
MBPR022,3.7649,Acetyl valeryl,C7H12O2,83.10979027,Ru/C+BEA 5wt.%,281,138,N2
MBPR027,3.7651,No Match,,,Ru/C 5wt.%,278,130,N2
MBPR032,3.7653,"Oxetane, 3,3-dimethyl-",C5H10O,66.32153151,BEA,287,150,N2
MBPR028,3.7654,"Cyclopentane, methyl-",C6H12,81.44029963,Ru/C+BEA 5wt.%,272,130,N2
MBPR023,3.7656,No Match,,,BEA,285,138,N2
MBPR039_02,3.7674,"Hexane, 3,4-dimethyl-",C8H18,91.02915552,Ru/C 5wt.%,280,134,N2
MBPR029,3.7689,"Pentane, 2,4-dimethyl-",C7H16,90.49437593,BEA,275,115,N2
MBPR033,3.77,"Hexane, 3,4-dimethyl-",C8H18,84.97064042,Ru/C 5wt.%,280,134,N2
MBPR026,3.7703,"Pentane, 2,4-dimethyl-",C7H16,90.1492792,BEA,282,130,N2
MBPR030,3.7717,"Hexane, 3,4-dimethyl-",C8H18,86.63183615,Ru/C 5wt.%,263,119,N2
MBPR029,3.7742,"Cyclopentane, methyl-",C6H12,79.8316215,BEA,275,115,N2
MBPR027,3.7751,"Hexane, 3,4-dimethyl-",C8H18,85.3125263,Ru/C 5wt.%,278,130,N2
MBPR038_02,3.7757,"Cyclopentane, methyl-",C6H12,92.16124009,Ru/C 5wt.%,280,134,N2
MBPR028,3.7759,"Cyclopentane, methyl-",C6H12,81.44143472,Ru/C+BEA 5wt.%,272,130,N2
MBPR039_02,3.7774,"Cyclopentane, methyl-",C6H12,88.46884218,Ru/C 5wt.%,280,134,N2
MBPR033,3.7775,"Cyclopentane, methyl-",C6H12,75.52513589,Ru/C 5wt.%,280,134,N2
MBPR040_02,3.7788,"Cyclopentane, methyl-",C6H12,90.80035293,Ru/C 5wt.%,280,134,N2
MBPR029,3.7808,Succinic anhydride,C4H4O3,58.74058293,BEA,275,115,N2
MBPR031,3.7811,"Cyclopentane, methyl-",C6H12,60.2422126,Ru/C+BEA 5wt.%,280,157,N2
MBPR026,3.7814,No Match,,,BEA,282,130,N2
MBPR030,3.7814,"Pentane, 3-methylene-",C6H12,65.48769513,Ru/C 5wt.%,263,119,N2
MBPR022,3.7819,"Hexane, 3,4-dimethyl-",C8H18,88.25222762,Ru/C+BEA 5wt.%,281,138,N2
MBPR025,3.7821,"Hexane, 3,4-dimethyl-",C8H18,90.29177031,Ru/C+BEA 5wt.%,278,145,N2
MBPR039_02,3.7841,"1-Octyn-3-ol, 3-methyl-",C9H16O,61.82411489,Ru/C 5wt.%,280,134,N2
MBPR024,3.7844,"Cyclopentane, methyl-",C6H12,84.66251033,Ru/C 5wt.%,281,127,N2
MBPR027,3.7847,"Cyclopentane, methyl-",C6H12,75.69862013,Ru/C 5wt.%,278,130,N2
MBPR023,3.7851,"Butane, 2,2,3-trimethyl-",C7H16,88.82428853,BEA,285,138,N2
MBPR026,3.7939,3-Ethyl-2-methyl-1-heptene,C10H20,66.482256,BEA,282,130,N2
MBPR025,3.8588,Acetyl valeryl,C7H12O2,72.49310227,Ru/C+BEA 5wt.%,278,145,N2
MBPR022,3.8639,Benzyl isobutyl ketone,C12H16O,70.82532156,Ru/C+BEA 5wt.%,281,138,N2
MBPR032,4.1359,"Tetrahydro[2,2']bifuranyl-5-one",C8H12O3,71.69201105,BEA,287,150,N2
MBPR031,4.1397,"2,2'-Bifuran, octahydro-",C8H14O2,64.84068638,Ru/C+BEA 5wt.%,280,157,N2
MBPR027,4.1599,"Butanoic acid, anhydride",C8H14O3,61.90367659,Ru/C 5wt.%,278,130,N2
MBPR032,4.3354,No Match,,,BEA,287,150,N2
MBPR031,4.3416,Valeric anhydride,C10H18O3,66.44925878,Ru/C+BEA 5wt.%,280,157,N2
MBPR032,4.3423,"1,4-Dioxin, 2,3-dihydro-",C4H6O2,80.94655933,BEA,287,150,N2
MBPR031,4.3476,"Cyclobutane, ethyl-",C6H12,88.76681584,Ru/C+BEA 5wt.%,280,157,N2
MBPR029,4.3481,No Match,,,BEA,275,115,N2
MBPR040_02,4.3503,Valeric anhydride,C10H18O3,72.2769759,Ru/C 5wt.%,280,134,N2
MBPR028,4.3534,Valeric anhydride,C10H18O3,71.82550534,Ru/C+BEA 5wt.%,272,130,N2
MBPR027,4.3545,"1,4-Dioxin, 2,3-dihydro-",C4H6O2,50.91464506,Ru/C 5wt.%,278,130,N2
MBPR038_02,4.355,"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester",C7H10O4,68.81700174,Ru/C 5wt.%,280,134,N2
MBPR039_02,4.3556,"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester",C7H10O4,78.83111802,Ru/C 5wt.%,280,134,N2
MBPR032,4.358,"1-Butanol, 2-methyl-, propanoate",C8H16O2,52.67063424,BEA,287,150,N2
MBPR040_02,4.3584,"1,5-Heptadiene, 3,4-dimethyl-",C9H16,78.18330315,Ru/C 5wt.%,280,134,N2
MBPR033,4.3609,Valeric anhydride,C10H18O3,69.53444688,Ru/C 5wt.%,280,134,N2
MBPR038_02,4.3617,Valeric anhydride,C10H18O3,70.09605459,Ru/C 5wt.%,280,134,N2
MBPR028,4.3634,"3-Hexenal, (Z)-",C6H10O,83.53349145,Ru/C+BEA 5wt.%,272,130,N2
MBPR032,4.3649,"1-Pentene, 3,3-dimethyl-",C7H14,81.17376038,BEA,287,150,N2
MBPR023,4.3682,No Match,,,BEA,285,138,N2
MBPR029,4.3697,"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester",C7H10O4,72.17140829,BEA,275,115,N2
MBPR038_02,4.3697,"Propanoic acid, anhydride",C6H10O3,85.11395902,Ru/C 5wt.%,280,134,N2
MBPR030,4.3703,Valeric anhydride,C10H18O3,65.93154243,Ru/C 5wt.%,263,119,N2
MBPR027,4.3708,"1-Pentene, 3,3-dimethyl-",C7H14,81.36570903,Ru/C 5wt.%,278,130,N2
MBPR039_02,4.3713,"1,3-Dioxolane",C3H6O2,56.69341366,Ru/C 5wt.%,280,134,N2
MBPR033,4.3729,"1-Pentene, 3,3-dimethyl-",C7H14,82.76594551,Ru/C 5wt.%,280,134,N2
MBPR038_02,4.376,1-Hexyne,C6H10,75.36033657,Ru/C 5wt.%,280,134,N2
MBPR039_02,4.381,"3-Hexenal, (Z)-",C6H10O,84.11225174,Ru/C 5wt.%,280,134,N2
MBPR023,4.3862,No Match,,,BEA,285,138,N2
MBPR030,4.3869,"1-Pentene, 3,3-dimethyl-",C7H14,80.29793407,Ru/C 5wt.%,263,119,N2
MBPR029,4.3877,"3-Hexenal, (Z)-",C6H10O,85.84816063,BEA,275,115,N2
MBPR033,4.3901,"Pentacyclo[7.5.0.0(2,8).0(5,14).0(7,11)]tetradeca-3,12-diene",C14H16,57.10653549,Ru/C 5wt.%,280,134,N2
MBPR025,4.392,"1,4-Dioxin, 2,3-dihydro-",C4H6O2,74.73025419,Ru/C+BEA 5wt.%,278,145,N2
MBPR023,4.3936,Valeric anhydride,C10H18O3,76.3411432,BEA,285,138,N2
MBPR026,4.3939,"1-Pentene, 3,3-dimethyl-",C7H14,82.28797152,BEA,282,130,N2
MBPR024,4.3947,"Methoxyacetic acid, 2-tetrahydrofurylmethyl ester",C8H14O4,51.91591811,Ru/C 5wt.%,281,127,N2
MBPR022,4.3952,Valeric anhydride,C10H18O3,76.30527831,Ru/C+BEA 5wt.%,281,138,N2
MBPR027,4.3958,2-(n-Pentyl)oxybenzylidene acetophenone,C20H22O2,51.02613642,Ru/C 5wt.%,278,130,N2
MBPR039_02,4.4001,"3-Heptanone, 2,4-dimethyl-",C9H18O,50.93249705,Ru/C 5wt.%,280,134,N2
MBPR024,4.4013,Valeric anhydride,C10H18O3,67.48320658,Ru/C 5wt.%,281,127,N2
MBPR022,4.4071,"1-Pentene, 3,3-dimethyl-",C7H14,78.36585348,Ru/C+BEA 5wt.%,281,138,N2
MBPR023,4.4088,"1-Pentene, 3,3-dimethyl-",C7H14,77.93599372,BEA,285,138,N2
MBPR025,4.4097,"2,2-Dimethylpropanoic anhydride",C10H18O3,65.40771735,Ru/C+BEA 5wt.%,278,145,N2
MBPR024,4.4133,"1,5-Heptadiene, 3,4-dimethyl-",C9H16,71.29627252,Ru/C 5wt.%,281,127,N2
MBPR022,4.418690376,No Match,,,Ru/C+BEA 5wt.%,281,138,N2
MBPR025,4.4202,2-Pentyn-1-ol,C5H8O,80.13404078,Ru/C+BEA 5wt.%,278,145,N2
MBPR024,4.4425,"1-Propene, 3-(2-cyclopentenyl)-2-methyl-1,1-diphenyl-",C21H22,54.50905087,Ru/C 5wt.%,281,127,N2
MBPR031,4.4428,"Heptane, 3,3,4-trimethyl-",C10H22,79.68171541,Ru/C+BEA 5wt.%,280,157,N2
MBPR040_02,4.4461,"Pentane, 3-ethyl-",C7H16,51.18454486,Ru/C 5wt.%,280,134,N2
MBPR022,4.4495,"4,4'-bi-4H-pyran, 2,2',6,6'-tetrakis(1,1-dimethylethyl)-4,4'-dimethyl-",C28H46O2,51.32374249,Ru/C+BEA 5wt.%,281,138,N2
MBPR032,4.4527,"Heptane, 3,3,4-trimethyl-",C10H22,76.80705101,BEA,287,150,N2
MBPR028,4.4529,"Heptane, 3,3,4-trimethyl-",C10H22,84.36203234,Ru/C+BEA 5wt.%,272,130,N2
MBPR038_02,4.4554,"Heptane, 3,3,4-trimethyl-",C10H22,81.72124197,Ru/C 5wt.%,280,134,N2
MBPR039_02,4.4581,"Hexane, 3-methyl-",C7H16,92.32564273,Ru/C 5wt.%,280,134,N2
MBPR029,4.4668,"Heptane, 3,3,4-trimethyl-",C10H22,77.96133575,BEA,275,115,N2
MBPR026,4.4722,"Heptane, 3,3,4-trimethyl-",C10H22,79.4283714,BEA,282,130,N2
MBPR023,4.4811,"Heptane, 3,3,4-trimethyl-",C10H22,78.39609396,BEA,285,138,N2
MBPR025,4.4877,"Heptane, 3,3,4-trimethyl-",C10H22,75.63846361,Ru/C+BEA 5wt.%,278,145,N2
MBPR038_02,4.5986,"Butane, 2-cyclopropyl-",C7H14,79.49372585,Ru/C 5wt.%,280,134,N2
MBPR039_02,4.6033,"Octane, 3-methyl-6-methylene-",C10H20,82.20580717,Ru/C 5wt.%,280,134,N2
MBPR029,4.6041,"Cyclobutane, 1,1,2,3,3-pentamethyl-",C9H18,72.09413425,BEA,275,115,N2
MBPR040_02,4.6065,"Propanoic acid, 2-methyl-, 2-methylbutyl ester",C9H18O2,69.55187698,Ru/C 5wt.%,280,134,N2
MBPR030,4.606769955,Hexanal benzyl pentyl acetal,C18H30O2,57.9318625,Ru/C 5wt.%,263,119,N2
MBPR038_02,4.6078,"Hexane, 2,3-dimethyl-",C8H18,88.21472782,Ru/C 5wt.%,280,134,N2
MBPR026,4.6176,Cyclobutanone,C4H6O,65.90960237,BEA,282,130,N2
MBPR026,4.6531,"2-Oxetanone, 3,3-dimethyl-",C5H8O2,69.10994844,BEA,282,130,N2
MBPR026,4.6597,"2-Oxetanone, 3,3-dimethyl-",C5H8O2,73.93039341,BEA,282,130,N2
MBPR040_02,4.6853,"Cyclopentane, 1,2-dimethyl-",C7H14,84.32383489,Ru/C 5wt.%,280,134,N2
MBPR038_02,4.6884,"Cyclopentane, 1,2-dimethyl-",C7H14,88.91866099,Ru/C 5wt.%,280,134,N2
MBPR039_02,4.6912,"Cyclopentane, 1,2-dimethyl-",C7H14,85.10010579,Ru/C 5wt.%,280,134,N2
MBPR031,4.8444,Heptane,C7H16,79.54576761,Ru/C+BEA 5wt.%,280,157,N2
MBPR038_02,4.8448,Heptane,C7H16,96.97634853,Ru/C 5wt.%,280,134,N2
MBPR039_02,4.8474,Heptane,C7H16,96.01191315,Ru/C 5wt.%,280,134,N2
MBPR032,4.8492,Heptane,C7H16,95.14886801,BEA,287,150,N2
MBPR028,4.8503,Heptane,C7H16,97.05308146,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,4.8564,Heptane,C7H16,85.27470185,BEA,275,115,N2
MBPR022,4.8576,3-Hexanone,C6H12O,67.83619107,Ru/C+BEA 5wt.%,281,138,N2
MBPR026,4.8618,Heptane,C7H16,94.97361144,BEA,282,130,N2
MBPR025,4.8659,Heptane,C7H16,89.52649012,Ru/C+BEA 5wt.%,278,145,N2
MBPR023,4.8662,Heptane,C7H16,73.2230286,BEA,285,138,N2
MBPR039_02,4.9354,(R)-(+)-3-Methylcyclopentanone,C6H10O,84.73283651,Ru/C 5wt.%,280,134,N2
MBPR038_02,5.3385,"Cyclohexane, methyl-",C7H14,92.08984168,Ru/C 5wt.%,280,134,N2
MBPR039_02,5.3392,"Cyclohexane, methyl-",C7H14,92.3336264,Ru/C 5wt.%,280,134,N2
MBPR032,5.3433,"Cyclohexane, methyl-",C7H14,89.44214678,BEA,287,150,N2
MBPR028,5.3446,"Cyclohexane, methyl-",C7H14,88.54776768,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,5.3478,"Cyclohexane, methyl-",C7H14,85.59208351,BEA,275,115,N2
MBPR026,5.356,"Cyclohexane, methyl-",C7H14,88.13999211,BEA,282,130,N2
MBPR025,5.3576,"Cyclohexane, methyl-",C7H14,88.0405964,Ru/C+BEA 5wt.%,278,145,N2
MBPR022,5.3588,"Furan, 2-methoxy-",C5H6O2,59.05220818,Ru/C+BEA 5wt.%,281,138,N2
MBPR038_02,5.4613,"Hexane, 2,5-dimethyl-",C8H18,89.39816437,Ru/C 5wt.%,280,134,N2
MBPR039_02,5.463,"Hexane, 2,5-dimethyl-",C8H18,92.28184628,Ru/C 5wt.%,280,134,N2
MBPR031,5.4673,"Octane, 2,7-dimethyl-",C10H22,80.20306848,Ru/C+BEA 5wt.%,280,157,N2
MBPR032,5.4685,"Hexane, 2,5-dimethyl-",C8H18,89.72724945,BEA,287,150,N2
MBPR028,5.469,"Octane, 2,7-dimethyl-",C10H22,85.27419243,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,5.4725,"Hexane, 2,5-dimethyl-",C8H18,91.33386668,BEA,275,115,N2
MBPR022,5.4774,"Octane, 2,7-dimethyl-",C10H22,82.7448907,Ru/C+BEA 5wt.%,281,138,N2
MBPR026,5.4782,"Hexane, 2,5-dimethyl-",C8H18,90.22676901,BEA,282,130,N2
MBPR025,5.4794,"Hexane, 2,5-dimethyl-",C8H18,90.34108568,Ru/C+BEA 5wt.%,278,145,N2
MBPR023,5.4805,"Hexane, 2,5-dimethyl-",C8H18,87.7767393,BEA,285,138,N2
MBPR038_02,5.5094,"Heptane, 3,4,5-trimethyl-",C10H22,89.29676287,Ru/C 5wt.%,280,134,N2
MBPR039_02,5.5097,"Heptane, 3,4,5-trimethyl-",C10H22,90.72111833,Ru/C 5wt.%,280,134,N2
MBPR032,5.516,"Heptane, 3-methyl-",C8H18,89.7375232,BEA,287,150,N2
MBPR029,5.5198,"2,2-Dimethyl-3-heptanone",C9H18O,84.406123,BEA,275,115,N2
MBPR026,5.5258,"Heptane, 3-methyl-",C8H18,86.11748672,BEA,282,130,N2
MBPR023,5.5288,"Pentane, 3-ethyl-3-methyl-",C8H18,66.56508545,BEA,285,138,N2
MBPR038_02,6.1357,"Hexane, 2,3-dimethyl-",C8H18,94.122828,Ru/C 5wt.%,280,134,N2
MBPR039_02,6.1359,"Hexane, 2,3-dimethyl-",C8H18,95.05697917,Ru/C 5wt.%,280,134,N2
MBPR029,6.1443,"Heptane, 3,3,4-trimethyl-",C10H22,86.83244946,BEA,275,115,N2
MBPR032,6.1451,"Hexane, 2,3-dimethyl-",C8H18,91.38984768,BEA,287,150,N2
MBPR026,6.154,"Hexane, 2,3-dimethyl-",C8H18,90.92604131,BEA,282,130,N2
MBPR022,6.1617,No Match,,,Ru/C+BEA 5wt.%,281,138,N2
MBPR038_02,6.2589,"Heptane, 2-methyl-",C8H18,94.8441475,Ru/C 5wt.%,280,134,N2
MBPR039_02,6.259,"Heptane, 2-methyl-",C8H18,96.6426637,Ru/C 5wt.%,280,134,N2
MBPR031,6.2657,"Heptane, 2-methyl-",C8H18,91.3094196,Ru/C+BEA 5wt.%,280,157,N2
MBPR032,6.2676,"Heptane, 2-methyl-",C8H18,95.39544932,BEA,287,150,N2
MBPR028,6.268,"Heptane, 2-methyl-",C8H18,93.26197938,Ru/C+BEA 5wt.%,272,130,N2
MBPR029,6.2691,"Heptane, 2-methyl-",C8H18,96.4442387,BEA,275,115,N2
MBPR022,6.273,"Heptane, 2-methyl-",C8H18,89.62338476,Ru/C+BEA 5wt.%,281,138,N2
MBPR025,6.2754,"Heptane, 2-methyl-",C8H18,94.88899318,Ru/C+BEA 5wt.%,278,145,N2
MBPR026,6.2776,"Heptane, 2-methyl-",C8H18,96.12479233,BEA,282,130,N2
MBPR023,6.2794,"Heptane, 2-methyl-",C8H18,95.43520276,BEA,285,138,N2
MBPR038_02,6.3446,Toluene,C7H8,88.53720626,Ru/C 5wt.%,280,134,N2
MBPR039_02,6.346,Toluene,C7H8,82.91358456,Ru/C 5wt.%,280,134,N2
MBPR032,6.3547,Toluene,C7H8,84.31382986,BEA,287,150,N2
MBPR026,6.3677,Toluene,C7H8,81.55880218,BEA,282,130,N2
MBPR038_02,6.4464,"Heptane, 3-methyl-",C8H18,96.26548842,Ru/C 5wt.%,280,134,N2
MBPR039_02,6.447,"Heptane, 3-methyl-",C8H18,93.32617948,Ru/C 5wt.%,280,134,N2
MBPR028,6.4539,"Heptane, 3-methyl-",C8H18,92.65245566,Ru/C+BEA 5wt.%,272,130,N2
MBPR031,6.4544,"Heptane, 3-methyl-",C8H18,91.04553304,Ru/C+BEA 5wt.%,280,157,N2
